,GD_CEO,GD_Approval,GD_company,HBR_CEO,HBR_Company,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
82,>Walt Bettinger II<,> 91% Approval<,['>Charles Schwab<'],>Paul Perreault<,">
CSL<",> Health Care | <,> Australia | <,> 2013 | <,> YES | <,> NO | <,> 142 | <,> 595 | <,> 122<
83,>Michael Hansen<,> 91% Approval<,['>Cengage<'],>Ivan Menezes<,">
Diageo<",> Consumer Goods | <,> United Kingdom | <,> 2013 | <,> YES | <,> YES | <,> 283 | <,> 58 | <,> 5<
84,>Martin Mucci<,> 91% Approval<,['>Paychex<'],>André Desmarais<,">
Power Corporation of Canada<",> Financial Services | <,> Canada | <,> 1996 | <,> YES | <,> NO | <,> 116 | <,> 276 | <,> 574<
85,>Jim Kavanaugh<,> 91% Approval<,['>World Wide Technology<'],>Paul Desmarais Jr.<,">
Power Corporation of Canada<",> Financial Services | <,> Canada | <,> 1996 | <,> YES | <,> YES | <,> 116 | <,> 276 | <,> 574<
86,>Kenneth C. Frazier<,> 91% Approval<,['>Merck<'],>Alfred Kelly Jr.<,">
Visa<",> Information Technology | <,> United States | <,> 2016 | <,> NO | <,> YES | <,> 186 | <,> 291 | <,> 246<
87,>John P. Wiehoff<,> 91% Approval<,['>C.H. Robinson<'],>Sheng Yue Gui<,">
Geely Automobile<",> Automobile | <,> China<,> 2006 | <,> YES | <,> YES | <,> 56 | <,> 686 | <,> 464<
88,>John E. Schlifske<,> 91% Approval<,['>Northwestern Mutual<'],>Piyush Gupta<,">
DBS Bank<",> Financial Services | <,> Singapore | <,> 2009 | <,> NO | <,> YES | <,> 152 | <,> 290 | <,> 414<
89,">Alfred F. Kelly, Jr.<",> 91% Approval<,['>Visa Inc.<'],>Colin Goldschmidt<,">
Sonic Healthcare<",> Health Care | <,> Australia | <,> 1993 | <,> YES | <,> NO | <,> 100 | <,> 521 | <,> 427<
90,">Steven J. Corwin, MD<",> 91% Approval<,['>NewYork-Presbyterian Hospital<'],>Marc Grynberg<,">
Umicore<",> Materials | <,> Belgium | <,> 2008 | <,> YES | <,> NO | <,> 215 | <,> 265 | <,> 151<
91,>Ken Burdick<,> 91% Approval<,['>WellCare<'],>Jussi Pesonen<,">
UPM<",> Materials | <,> Finland | <,> 2004 | <,> YES | <,> NO | <,> 253 | <,> 107 | <,> 133<
92,>Dan Bane<,> 91% Approval<,"["">Trader Joe's<""]",>Leonard Schleifer<,">
Regeneron Pharmaceuticals<",> Health Care | <,> United States | <,> 1988 | <,> YES | <,> NO | <,> 19 | <,> 682 | <,> 654<
93,>Mark G. Parker<,> 91% Approval<,['>NIKE<'],>Jens Bjørn Andersen<,">
DSV<",> Transportation | <,> Denmark | <,> 2008 | <,> YES | <,> NO | <,> 173 | <,> 230 | <,> 389<
94,>Pat Bauer<,> 90% Approval<,['>Heartland Dental<'],>Björn Rosengren<,">
Sandvik<",> Industrials | <,> Sweden | <,> 2015 | <,> NO | <,> NO | <,> 270 | <,> 143 | <,> 38<
95,>David Cordani<,> 90% Approval<,['>Cigna<'],>Masayoshi Son<,">
SoftBank<",> Communication | <,> Japan | <,> 1981 | <,> YES | <,> NO | <,> 10 | <,> 703 | <,> 699<
96,>Steve Barick<,> 90% Approval<,['>Highgate Hotels<'],>Daniel Hajj Aboumrad<,">
América Móvil<",> Communication | <,> Mexico | <,> 2000 | <,> YES | <,> NO | <,> 49 | <,> 508 | <,> 732<
97,>Stephen J Squeri<,> 90% Approval<,['>American Express<'],>Gary Dickerson<,">
Applied Materials<",> Information Technology | <,> United States | <,> 2013 | <,> YES | <,> YES | <,> 207 | <,> 347 | <,> 167<
98,>David Baiada<,> 90% Approval<,['>BAYADA Home Health Care<'],>Brian Roberts<,">
Comcast<",> Communication | <,> United States | <,> 2002 | <,> YES | <,> NO | <,> 68 | <,> 604 | <,> 570<
99,>Cindy Mi<,> 90% Approval<,['>VIPKid<'],>Bruce Flatt<,">
Brookfield Asset Management<",> Financial Services | <,> Canada | <,> 2002 | <,> YES | <,> NO | <,> 25 | <,> 855 | <,> 525<
